instances,approach_0
0,46.921875
1000,46.921875
2000,46.921875
3000,95.6015625
4000,101.734375
5000,101.734375
6000,101.734375
7000,101.734375
8000,101.734375
9000,101.734375
10000,101.734375
11000,101.734375
12000,101.734375
13000,101.734375
14000,101.734375
15000,101.734375
16000,101.734375
17000,101.734375
18000,101.734375
19000,101.734375
20000,101.734375
21000,101.734375
22000,101.734375
23000,101.734375
24000,101.734375
25000,101.734375
26000,101.734375
27000,119.8515625
28000,119.734375
29000,101.734375
30000,101.734375
31000,101.734375
32000,119.734375
33000,101.734375
34000,101.734375
35000,101.734375
36000,101.734375
37000,119.734375
38000,101.734375
39000,101.734375
40000,101.734375
41000,101.734375
42000,119.734375
43000,101.734375
44000,101.734375
45000,101.734375
46000,101.734375
47000,101.734375
48000,119.734375
49000,101.734375
50000,101.734375
