instances,approach_20
0,54.2109375
1000,54.2109375
2000,54.2109375
3000,54.2109375
4000,64.1796875
5000,82.203125
6000,64.234375
7000,64.234375
8000,64.234375
9000,82.234375
10000,82.234375
11000,64.234375
12000,64.234375
13000,82.234375
14000,64.234375
15000,82.234375
16000,82.3515625
17000,82.234375
18000,64.234375
19000,82.3515625
20000,82.3515625
21000,64.234375
22000,82.234375
23000,92.078125
24000,92.078125
25000,92.078125
26000,92.078125
27000,92.078125
28000,92.078125
29000,92.078125
30000,92.1328125
31000,92.1328125
32000,92.1328125
33000,92.1328125
34000,92.1328125
35000,92.1328125
36000,92.1328125
37000,92.1328125
38000,92.1328125
39000,92.1328125
40000,92.1328125
41000,110.1328125
42000,92.1328125
43000,92.1328125
44000,110.1328125
45000,110.25
46000,110.1328125
47000,92.1328125
48000,110.25
49000,110.1328125
50000,110.1328125
51000,92.1328125
52000,110.25
53000,110.25
54000,120.03125
55000,120.03125
56000,120.03125
57000,138.03125
58000,120.03125
59000,138.0546875
60000,120.0859375
61000,138.203125
62000,156.0859375
63000,120.0859375
64000,138.203125
65000,138.0859375
66000,120.0859375
67000,147.8984375
68000,147.8984375
69000,147.8984375
70000,147.8984375
71000,147.8984375
72000,147.8359375
73000,165.953125
74000,166.0703125
75000,147.953125
76000,166.0703125
77000,166.0703125
78000,147.953125
79000,147.953125
80000,147.953125
81000,165.953125
82000,166.0703125
83000,166.0703125
84000,166.0703125
85000,184.0703125
86000,166.0703125
87000,184.0703125
88000,166.0703125
89000,166.0703125
90000,184.1875
91000,166.0703125
92000,166.0703125
93000,184.0703125
94000,166.0703125
95000,165.953125
96000,184.0703125
97000,166.0703125
98000,166.0703125
99000,184.0703125
100000,184.0703125
